Date_Time,Temperature (°C),Humidity (%),Occupancy,Appliance Usage (kWh),Historical Energy Consumption (kWh),Weather Condition,Block,Energy Consumption (kWh)
02/01/2020 23:00,31.79,32.92,3,1.53,59.87,Clear,MOQ 10,37.07
03/01/2020 00:00,30.04,69.99,9,3.23,46.43,Cloudy,MOQ 4,17.29
03/01/2020 01:00,17.39,67.92,10,4.39,21.34,Cloudy,MOQ 3,26.16
03/01/2020 02:00,17.24,35.1,8,1.29,22.31,Windy,SOQ 18,20.82
03/01/2020 03:00,32.41,71.23,9,0.51,49.77,Cloudy,SNCO 8B,25.49
03/01/2020 04:00,19.81,41.6,0,4.14,49.14,Rain,SOQ 19,25
03/01/2020 05:00,31.48,45.28,8,2.85,51.13,Rain,SOQ 4,23.09
03/01/2020 06:00,16.41,30.14,2,0.8,36.38,Rain,CBQ 28,25.36
03/01/2020 07:00,19.99,56.99,0,1.08,31.65,Windy,SOQ 9,38.02
03/01/2020 08:00,31.29,72.65,0,4.9,65.84,Rain,SOQ 17,19.94
03/01/2020 09:00,26.68,75.49,9,0.74,48.41,Rain,MOQ 2,29.52
03/01/2020 10:00,13.51,46.36,4,1.62,50.01,Rain,CBQ 18,26.08
03/01/2020 11:00,28.65,51.21,4,3.32,35.12,Cloudy,CBQ 26,20.48
03/01/2020 12:00,17.26,51.62,6,2.61,57.31,Clear,CBQ 23,16.42
03/01/2020 13:00,11.91,66.56,8,0.59,25.08,Windy,SNCO 7A,16.23
03/01/2020 14:00,33.02,43.2,3,4.67,22.46,Clear,SOQ 15,16.01
03/01/2020 15:00,15.83,49.32,1,2.98,34.33,Windy,SNCO 11B,35.39
03/01/2020 16:00,19.35,60.66,4,1.07,36.35,Cloudy,MOQ 5,38.97
03/01/2020 17:00,12.99,33.26,0,1.39,49.63,Clear,MOQ 14,29.48
03/01/2020 18:00,10.91,76.76,5,3.32,41.87,Clear,SOQ 17,37.33
03/01/2020 19:00,22.37,50.22,3,3.57,30.13,Clear,MOQ 13,39.53
03/01/2020 20:00,14.83,46.52,1,2,48.56,Rain,SNCO 16B,18.88
03/01/2020 21:00,15.32,32.44,2,2.82,25.6,Cloudy,MOQ 18,38.04
03/01/2020 22:00,24.63,53.58,0,3.54,61.02,Cloudy,CBQ 6,29.37
03/01/2020 23:00,29.17,77.07,10,0.67,23.29,Windy,SOQ 19,37.43
04/01/2020 00:00,21.38,78.21,2,3.26,29.16,Cloudy,SNCO 1B,23.81
04/01/2020 01:00,32.52,62.26,3,3.74,34.81,Clear,MOQ 14,27.48
04/01/2020 02:00,24.22,66.08,0,3.94,32.22,Windy,MOQ 18,28.23
04/01/2020 03:00,26.05,40.09,9,4.81,67.17,Cloudy,CBQ 8,22.98
04/01/2020 04:00,29.72,53.09,10,4.35,58.81,Cloudy,MOQ 14,30
04/01/2020 05:00,30.61,78.07,4,1.82,51.71,Windy,SOQ 7,30.91
04/01/2020 06:00,17.7,76.33,4,3.09,32.67,Windy,MOQ 5,33.92
04/01/2020 07:00,33.44,74.76,5,3.82,52.5,Cloudy,SOQ 17,29.71
04/01/2020 08:00,18.54,41.17,0,3.04,36.11,Clear,SOQ 12,18.04
04/01/2020 09:00,18.83,41.53,1,1.58,59.08,Windy,SNCO 7B,19.5
04/01/2020 10:00,18.09,39.85,5,2.11,67.62,Windy,CBQ 10,38.04
04/01/2020 11:00,19.37,64.07,8,1.32,65.56,Rain,SNCO 14A,33.69
04/01/2020 12:00,23.21,35.02,0,1.7,43.22,Cloudy,MOQ 14,23.72
04/01/2020 13:00,15.36,62.8,5,3.9,21.76,Clear,CBQ 18,20.06
04/01/2020 14:00,24.68,77.24,7,1.7,51.58,Rain,SOQ 11,29.33
04/01/2020 15:00,11.48,47.82,4,4.47,60.95,Rain,SNCO 13A,28.8
04/01/2020 16:00,25.07,65.18,5,4.67,38.85,Clear,SOQ 18,27.88
04/01/2020 17:00,28.33,76.55,1,4.61,37.54,Cloudy,SOQ 14,17.36
04/01/2020 18:00,19.01,61.98,4,3.35,31,Windy,CBQ 24,18.26
04/01/2020 19:00,20.8,68.44,5,1.03,52.71,Cloudy,SOQ 10,19.93
04/01/2020 20:00,30.9,30.39,5,4.53,64.77,Clear,MOQ 3,17.07
04/01/2020 21:00,34.48,62.31,6,2.39,62.64,Cloudy,SOQ 13,27.52
04/01/2020 22:00,13.72,32.51,7,2.92,61.36,Rain,SNCO 20A,34.65
04/01/2020 23:00,30.46,59.33,2,4.25,58.91,Windy,SNCO 13A,17.63
05/01/2020 00:00,16.54,46.79,6,4.74,64.19,Clear,SNCO 13A,27.45
05/01/2020 01:00,14.71,35.11,7,4.09,29.48,Rain,MOQ 10,27.98
05/01/2020 02:00,26.96,44.06,6,2.55,55.86,Cloudy,SOQ 1,30.64
05/01/2020 03:00,16.81,46.38,7,1.57,36.44,Clear,MOQ 7,31.29
05/01/2020 04:00,18.17,61.19,1,4.05,40.93,Windy,MOQ 16,32.22
05/01/2020 05:00,31.32,58.26,2,0.55,52.75,Rain,SNCO 15A,31.57
05/01/2020 06:00,21.3,48.7,7,1.62,27.6,Rain,CBQ 15,24.58
05/01/2020 07:00,26.88,41.09,2,1.65,24.83,Windy,MOQ 18,18.02
05/01/2020 08:00,29.03,46.82,8,4.79,68.86,Clear,CBQ 29,24.86
05/01/2020 09:00,22.51,69.41,10,4.09,32.42,Clear,CBQ 27,38.6
05/01/2020 10:00,33.47,37.91,0,2.15,58.08,Clear,CBQ 21,32.81
05/01/2020 11:00,15.54,78.1,0,2.25,37.69,Windy,CBQ 25,34.86
05/01/2020 12:00,17.61,66,3,3.31,50.15,Rain,CBQ 24,34.52
05/01/2020 13:00,30.25,54.36,9,4.67,65.97,Rain,SNCO 7A,21.63
05/01/2020 14:00,13.17,75.4,7,2.51,57.95,Rain,SNCO 17A,16.14
05/01/2020 15:00,21.45,44.41,9,3.81,57.93,Clear,SOQ 3,34.88
05/01/2020 16:00,11.94,36.86,5,2.54,50.06,Cloudy,CBQ 25,33.85
05/01/2020 17:00,31.69,61.15,9,2.98,35.5,Rain,MOQ 6,26
05/01/2020 18:00,23.36,51.49,1,4.94,24.28,Clear,SOQ 6,35.29
05/01/2020 19:00,27.79,68.45,1,4.43,21.75,Cloudy,MOQ 8,21.06
05/01/2020 20:00,22.23,41.84,0,4.41,20.38,Windy,SNCO 3A,16.55
05/01/2020 21:00,16.81,56.91,5,1.18,25.93,Cloudy,CBQ 27,28.88
05/01/2020 22:00,11.51,71.33,6,3.18,47.28,Rain,MOQ 15,35.86
05/01/2020 23:00,13.37,31.86,8,1.35,53.8,Clear,MOQ 17,31.05
06/01/2020 00:00,21.82,65.6,2,2.4,59.84,Windy,SOQ 9,38.9
06/01/2020 01:00,26.42,77.54,1,4.1,26.16,Clear,CBQ 5,30.46
06/01/2020 02:00,28.74,62.28,8,2.3,49.49,Clear,SOQ 14,16.45
06/01/2020 03:00,34.89,30.57,2,1.08,35.13,Windy,MOQ 6,31.42
06/01/2020 04:00,30.07,46.23,4,2.19,38.82,Clear,SOQ 15,25.71
06/01/2020 05:00,28.19,65.16,5,3.29,31.66,Windy,CBQ 4,32.27
06/01/2020 06:00,31.83,45.46,1,0.61,20.52,Clear,SOQ 10,21.14
06/01/2020 07:00,14.03,47.84,5,2.55,23.36,Windy,SOQ 4,17.7
06/01/2020 08:00,29.06,55.74,2,3.98,44.66,Windy,MOQ 1,27.65
06/01/2020 09:00,25.74,52.43,9,3.43,29.38,Windy,SOQ 11,16.84
06/01/2020 10:00,19.19,76.63,8,1.35,52.73,Clear,SNCO 2A,18.99
06/01/2020 11:00,15.91,35.83,7,3.19,38.77,Cloudy,MOQ 15,37.37
06/01/2020 12:00,30.69,54.55,10,1.8,50.59,Clear,SNCO 4B,31.22
06/01/2020 13:00,28.88,67.23,3,1.69,55.17,Rain,SOQ 17,17.48
06/01/2020 14:00,19.91,74.22,3,3.36,20.06,Cloudy,CBQ 10,16.57
06/01/2020 15:00,25.43,61.25,5,1.91,59.68,Rain,MOQ 10,34.52
06/01/2020 16:00,24.38,70.83,6,3.27,63.62,Rain,SNCO 20B,19.61
06/01/2020 17:00,21.75,47.4,2,3.46,30.4,Cloudy,SNCO 1B,25.14
06/01/2020 18:00,32.45,45.99,4,2.33,55.56,Cloudy,MOQ 17,27.73
06/01/2020 19:00,21.17,74.41,1,3.28,24.06,Rain,SOQ 17,16.71
06/01/2020 20:00,11.65,70.4,3,2.33,32.27,Windy,SOQ 16,20.48
06/01/2020 21:00,26.96,79.7,3,4.48,20.56,Clear,SOQ 5,35.09
06/01/2020 22:00,10.03,43.2,8,2.09,46.23,Clear,SNCO 16A,29.12
06/01/2020 23:00,12.82,74.06,4,3.1,45.95,Cloudy,SNCO 11A,25.65
07/01/2020 00:00,22.08,38.56,2,1.35,53.39,Rain,SOQ 6,36.71
07/01/2020 01:00,15.91,72.91,3,2.68,22.82,Cloudy,CBQ 24,38.14
07/01/2020 02:00,19.81,50.11,1,3.47,37.81,Cloudy,SOQ 19,33.1
07/01/2020 03:00,11.64,45.38,1,0.69,67.36,Cloudy,SOQ 6,18.33
07/01/2020 04:00,24.65,57.2,2,4.14,38.16,Cloudy,SNCO 7A,17.55
07/01/2020 05:00,32.59,55.68,5,1.47,64.47,Windy,CBQ 23,25.82
07/01/2020 06:00,30.35,39.5,1,4.86,44.13,Rain,SNCO 17A,38.92
07/01/2020 07:00,20.19,51.95,9,1.13,42.16,Cloudy,MOQ 15,39.61
07/01/2020 08:00,31.01,36.34,3,3.72,61.73,Windy,MOQ 14,31.68
07/01/2020 09:00,15.57,30.2,1,2.78,52.9,Windy,MOQ 16,35.41
07/01/2020 10:00,28.98,54.31,4,1.06,67.02,Rain,SOQ 19,28.89
07/01/2020 11:00,17.82,57.99,3,4.54,23.67,Windy,SOQ 9,23.38
07/01/2020 12:00,31.51,59.39,7,2.78,69.32,Rain,SNCO 3B,28.44
07/01/2020 13:00,20.53,41.46,0,1.15,34.92,Windy,CBQ 5,16.19
07/01/2020 14:00,34.06,67.12,3,1.46,55.47,Cloudy,SNCO 6A,16.18
07/01/2020 15:00,25.66,36.02,4,3.83,49.01,Rain,CBQ 4,20.8
07/01/2020 16:00,31.73,45.44,4,3.83,42.38,Clear,SNCO 1B,20.48
07/01/2020 17:00,20.09,57.44,0,3.73,34.09,Windy,MOQ 10,20.34
07/01/2020 18:00,23.35,73.04,7,2.67,56.31,Rain,MOQ 20,39.93
07/01/2020 19:00,12.4,38.67,8,4.54,45.8,Rain,SNCO 15B,19.51
07/01/2020 20:00,29.02,48.22,4,2.34,30.48,Clear,MOQ 11,20.97
07/01/2020 21:00,18.63,67.8,1,3.15,28.92,Windy,SOQ 7,29.54
07/01/2020 22:00,13.54,61.4,7,0.97,39,Cloudy,MOQ 20,20.37
07/01/2020 23:00,31.06,52.66,1,1.9,69.32,Cloudy,CBQ 5,22.42
08/01/2020 00:00,25.37,43.88,8,3.08,40.33,Windy,MOQ 19,23.44
08/01/2020 01:00,28.71,53.17,4,3.74,63.07,Rain,SOQ 8,25.13
08/01/2020 02:00,15.69,59.95,8,1.7,31.24,Cloudy,SNCO 11B,24.38
08/01/2020 03:00,25.85,54.46,5,4.32,30.2,Rain,SOQ 20,39.31
08/01/2020 04:00,17.35,75.15,10,2.52,37.47,Rain,SNCO 11B,32.35
08/01/2020 05:00,25.68,43.44,3,3.59,62.64,Cloudy,SNCO 16B,24.48
08/01/2020 06:00,17.16,57.95,8,3.05,48.7,Cloudy,MOQ 17,32.73
08/01/2020 07:00,16.18,56.99,6,4.79,33.73,Cloudy,CBQ 21,27.69
08/01/2020 08:00,22.13,36.9,3,3.75,20.91,Cloudy,SNCO 5B,25.66
08/01/2020 09:00,21.45,46.04,7,2.16,24.21,Rain,SNCO 1B,36.36
08/01/2020 10:00,25.74,32.34,1,3.67,33.23,Clear,MOQ 5,18.56
08/01/2020 11:00,32.18,64.17,5,3.62,22.01,Clear,MOQ 20,22.88
08/01/2020 12:00,17.21,69.61,9,2.54,64.83,Cloudy,SNCO 1A,23.38
08/01/2020 13:00,27.38,32.51,4,3.02,46.87,Cloudy,SOQ 14,29.72
08/01/2020 14:00,13.06,50.72,7,2.88,23.06,Rain,MOQ 3,20.15
08/01/2020 15:00,26.04,38.61,1,3.14,32.17,Clear,MOQ 5,39.19
08/01/2020 16:00,23.53,31.33,8,2.82,33.29,Windy,SNCO 8A,38.68
08/01/2020 17:00,13.09,55.19,8,4,69.6,Clear,CBQ 28,20.83
08/01/2020 18:00,15.81,30.59,0,1.25,65.26,Windy,MOQ 19,17.63
08/01/2020 19:00,21.31,63.17,5,3.01,67.64,Cloudy,MOQ 9,24.46
08/01/2020 20:00,32.2,37.92,7,2.05,62.51,Cloudy,SNCO 7B,19.62
08/01/2020 21:00,23.56,56.79,4,0.52,29.92,Cloudy,SOQ 13,25.08
08/01/2020 22:00,11.74,52.86,1,1.06,32.8,Clear,CBQ 15,34.77
08/01/2020 23:00,23.77,31.54,3,1.28,51.7,Clear,CBQ 19,37.53
09/01/2020 00:00,22.37,79.67,3,2.85,55.71,Rain,SNCO 13A,38.42
09/01/2020 01:00,20.94,77.96,8,1.2,69.89,Cloudy,CBQ 17,15.32
09/01/2020 02:00,21.18,79.98,1,1.63,28.19,Cloudy,CBQ 15,23.82
09/01/2020 03:00,30.81,79.05,6,2.65,36.25,Windy,SNCO 5B,22.58
09/01/2020 04:00,22.21,52.59,5,0.91,68.69,Clear,SNCO 17A,18.87
09/01/2020 05:00,13.49,55.6,8,2.81,44.88,Windy,SOQ 8,37.19
09/01/2020 06:00,31.1,62.82,10,1.3,56.62,Cloudy,SNCO 19B,29.7
09/01/2020 07:00,21.59,37.65,1,0.57,59.73,Cloudy,MOQ 7,37.47
09/01/2020 08:00,23.56,46.26,4,1.75,27.82,Windy,MOQ 11,22.57
09/01/2020 09:00,27.1,43.99,9,1.1,40,Rain,CBQ 7,25.08
09/01/2020 10:00,27.53,41.17,2,2.39,30.16,Windy,MOQ 16,38.97
09/01/2020 11:00,20.53,75.43,7,1.7,28.94,Windy,SNCO 1A,16.88
09/01/2020 12:00,20.66,39.57,0,2.22,34.5,Rain,SNCO 15B,28.91
09/01/2020 13:00,18.66,41.87,9,4.4,50.95,Cloudy,SOQ 12,17.52
09/01/2020 14:00,32.63,46.33,4,3.21,23.53,Cloudy,CBQ 7,27.56
09/01/2020 15:00,21.28,74.22,9,3.31,67.59,Cloudy,SOQ 6,37.36
09/01/2020 16:00,25.32,35.59,0,3.93,59.88,Cloudy,MOQ 1,19.39
09/01/2020 17:00,14.56,35.12,2,2.8,47.64,Windy,CBQ 21,25.42
09/01/2020 18:00,14.58,60.8,3,2.82,41.69,Windy,SNCO 13A,20.32
09/01/2020 19:00,20.69,40.61,0,4.41,55.99,Windy,SOQ 17,25.2
09/01/2020 20:00,10.07,33.36,5,0.65,54.95,Clear,MOQ 20,22.36
09/01/2020 21:00,22.31,69.95,4,1.03,54.42,Rain,SOQ 12,33.12
09/01/2020 22:00,18.7,76.69,0,4.86,29.68,Windy,SNCO 12B,20.37
09/01/2020 23:00,27.18,73.27,1,1.93,26.32,Clear,SOQ 6,36.08
10/01/2020 00:00,11.55,50.65,4,3.57,66.94,Rain,SNCO 4A,24.65
10/01/2020 01:00,28.04,69.92,0,4.55,50.52,Windy,MOQ 1,27.06
10/01/2020 02:00,17.89,43.39,4,2.05,51.9,Clear,MOQ 10,22.16
10/01/2020 03:00,14.48,54.6,8,4.93,55.8,Windy,SOQ 2,30.05
10/01/2020 04:00,13.53,72.83,9,3.22,47.16,Clear,SNCO 18A,33.96
10/01/2020 05:00,17.75,69.53,1,4.34,68.76,Windy,SOQ 14,23.02
10/01/2020 06:00,27.41,42.41,10,0.54,27.39,Rain,CBQ 29,36.8
10/01/2020 07:00,15.29,68.55,6,3.18,38.12,Cloudy,MOQ 2,16.89
10/01/2020 08:00,11.03,61.34,4,4.72,69.66,Rain,CBQ 17,28.45
10/01/2020 09:00,20.05,64.01,8,3.08,35.97,Rain,CBQ 3,31.49
10/01/2020 10:00,22.49,69.65,5,4.31,37.15,Clear,MOQ 10,30.82
10/01/2020 11:00,22.29,75.76,6,1.68,56,Clear,CBQ 27,31.18
10/01/2020 12:00,11.43,37.7,7,3.45,28.95,Cloudy,MOQ 1,19.46
10/01/2020 13:00,27.31,46.71,1,3.21,62.06,Clear,CBQ 27,25.13
10/01/2020 14:00,14.13,77.16,6,3.49,45.36,Rain,SNCO 10B,28.77
10/01/2020 15:00,16.33,71.94,2,0.85,49.89,Cloudy,MOQ 11,29.77
10/01/2020 16:00,24.4,49.82,5,1.17,37.08,Rain,SOQ 10,29.85
10/01/2020 17:00,19.15,35.14,10,4.62,44.41,Clear,SOQ 20,18.59
10/01/2020 18:00,14.29,73.32,5,1.38,67.61,Rain,SNCO 1A,30.59
10/01/2020 19:00,10.86,41.49,0,0.94,26.16,Rain,SNCO 10B,38.91
10/01/2020 20:00,32.99,54.52,0,3.15,61.3,Cloudy,MOQ 18,39.35
10/01/2020 21:00,12.89,74.45,9,2.33,66.34,Clear,SOQ 19,28.5
10/01/2020 22:00,24.16,59.92,5,3.37,45.64,Windy,CBQ 9,21
10/01/2020 23:00,28.05,47.07,3,2.85,33.01,Clear,SNCO 2B,34.78
11/01/2020 00:00,27.84,56.15,8,1.62,25.88,Cloudy,CBQ 6,18.97
11/01/2020 01:00,19.09,59.65,4,3.63,62.05,Windy,CBQ 11,18.57
11/01/2020 02:00,24.99,73.79,7,3.42,37.33,Cloudy,CBQ 13,26.48
11/01/2020 03:00,22.49,39.71,7,1.51,40.48,Cloudy,MOQ 19,16.61
11/01/2020 04:00,10.31,58.1,8,4.26,51.11,Cloudy,MOQ 9,22.99
11/01/2020 05:00,34.02,42.28,0,4.84,53.87,Cloudy,CBQ 3,17.15
11/01/2020 06:00,11.56,73.63,6,0.85,49.77,Cloudy,SNCO 14B,17.68
11/01/2020 07:00,21.99,74,7,1.09,31.19,Cloudy,SNCO 17B,35.06
11/01/2020 08:00,32.14,39.42,3,2.91,27.72,Clear,CBQ 30,20.74
11/01/2020 09:00,19.06,37.37,2,0.95,62.79,Windy,SOQ 6,36.74
11/01/2020 10:00,25.71,50.44,0,4.55,63.41,Rain,SOQ 18,28.59
11/01/2020 11:00,11.22,39.58,8,4.53,37.72,Windy,SNCO 19A,39.32
11/01/2020 12:00,19.75,31.26,2,0.74,35.74,Windy,SNCO 19B,26.84
11/01/2020 13:00,10.92,53.35,5,2.93,56.01,Clear,CBQ 23,23.89
11/01/2020 14:00,32.23,69.9,6,4.27,42.5,Windy,CBQ 7,20.98
11/01/2020 15:00,18.31,79.3,9,2.08,38.48,Clear,SOQ 18,33.12
11/01/2020 16:00,13.88,56,3,0.88,46.5,Clear,SOQ 6,37.24
11/01/2020 17:00,25.15,31.77,0,4.71,63.92,Rain,SOQ 10,36.74
11/01/2020 18:00,18.48,75.75,4,0.75,35.07,Rain,CBQ 28,25.3
11/01/2020 19:00,15.83,57.26,3,2.44,39.58,Clear,SOQ 7,30.17
11/01/2020 20:00,12.49,69.29,7,3.15,39.98,Windy,MOQ 12,17.49
11/01/2020 21:00,22.66,76.22,2,3.64,41.88,Rain,SOQ 3,32
11/01/2020 22:00,28.53,66.88,1,1.98,64.17,Clear,MOQ 19,35.13
11/01/2020 23:00,19.77,40.99,7,0.74,23.29,Rain,MOQ 5,27.14
12/01/2020 00:00,25.93,79.96,1,4.85,20.17,Rain,MOQ 2,15.87
12/01/2020 01:00,12.8,54.13,4,0.74,51.69,Windy,MOQ 9,23.04
12/01/2020 02:00,15.26,39.18,7,1.23,33.64,Cloudy,MOQ 5,26
12/01/2020 03:00,21.04,66.46,1,4.39,25.2,Rain,SNCO 2B,35.31
12/01/2020 04:00,11.26,36.99,8,2.21,46.83,Cloudy,SNCO 15B,33.95
12/01/2020 05:00,10.41,77.88,10,4.26,41.95,Clear,CBQ 19,32.35
12/01/2020 06:00,15.28,51.85,3,3.07,57.97,Windy,SOQ 18,28.99
12/01/2020 07:00,31.48,51.14,1,4.34,38.92,Cloudy,MOQ 10,25.87
12/01/2020 08:00,27.19,31.72,1,0.94,62.47,Rain,MOQ 12,32.1
12/01/2020 09:00,25.07,31.75,1,2.67,49.65,Clear,MOQ 11,38.23
12/01/2020 10:00,25.75,49.93,6,4.16,53.48,Clear,SOQ 1,23.18
12/01/2020 11:00,27.16,78.75,5,3.47,57.42,Rain,MOQ 19,32.13
12/01/2020 12:00,26.15,53.5,4,4.84,21.43,Windy,MOQ 3,19.36
12/01/2020 13:00,21.06,46.25,10,2.47,49.12,Cloudy,MOQ 3,24.67
12/01/2020 14:00,25.25,53.43,2,1.47,59.82,Rain,CBQ 13,38.1
12/01/2020 15:00,30.56,68,4,1.58,20.75,Rain,SNCO 1A,32.71
12/01/2020 16:00,13.57,68.89,7,2.33,58.37,Clear,SOQ 4,30.37
12/01/2020 17:00,29.23,74.28,0,1.23,58.97,Cloudy,MOQ 15,30.99
12/01/2020 18:00,18.07,49.96,6,2.66,25.39,Windy,SNCO 18A,16.49
12/01/2020 19:00,14.87,71.2,0,3.3,40.41,Windy,SNCO 4B,32.55
12/01/2020 20:00,10.71,59.15,1,3.34,25.6,Clear,SNCO 17B,20.25
12/01/2020 21:00,15.94,35.35,0,2.34,43.44,Cloudy,SNCO 10B,27.48
12/01/2020 22:00,11.78,49.79,5,4.25,55.49,Rain,CBQ 20,29.25
12/01/2020 23:00,20.53,34.64,9,2.18,59.99,Windy,MOQ 6,21.03
13/01/2020 00:00,33.35,71.39,4,3.15,59.25,Cloudy,SNCO 9A,15.63
13/01/2020 01:00,21.97,60.52,6,1.2,37.46,Windy,CBQ 27,36.86
13/01/2020 02:00,12.89,42.92,10,0.94,38.63,Windy,SNCO 16B,18
13/01/2020 03:00,29.62,73.93,3,1.13,57.47,Cloudy,SOQ 3,20.14
13/01/2020 04:00,31.22,33.35,4,3.27,59.41,Cloudy,CBQ 18,35.53
13/01/2020 05:00,26.36,62.75,6,3.61,22.83,Rain,SNCO 12B,16.36
13/01/2020 06:00,14.37,44.4,10,3.89,60.08,Clear,SNCO 7A,24.99
13/01/2020 07:00,17.62,33.95,4,2.03,66.44,Clear,SOQ 2,36.08
13/01/2020 08:00,13.25,67.23,2,2.95,48.96,Clear,SOQ 13,28.32
13/01/2020 09:00,12.3,56.52,6,4.85,45.07,Rain,SOQ 16,30.87
13/01/2020 10:00,23.48,62.18,2,1.03,49.14,Windy,CBQ 13,35.14
13/01/2020 11:00,10.32,59.17,6,2.72,61.93,Windy,CBQ 9,37.93
13/01/2020 12:00,30.35,68.79,9,1.31,61.64,Windy,SOQ 5,24.42
13/01/2020 13:00,26.5,41.64,1,0.66,61.84,Clear,SOQ 6,26.38
13/01/2020 14:00,27.26,66.98,4,0.95,28.17,Cloudy,MOQ 9,27.33
13/01/2020 15:00,15.54,57.29,4,4.33,48.71,Cloudy,MOQ 5,34.86
13/01/2020 16:00,14.55,50.93,7,4.78,61.94,Rain,SOQ 20,31.79
13/01/2020 17:00,14.26,70.02,8,4.74,60.22,Cloudy,SOQ 13,37.12
13/01/2020 18:00,16.38,77.73,9,1.39,48.29,Clear,SNCO 19B,32.18
13/01/2020 19:00,19.39,40.25,6,4.36,22.81,Rain,SNCO 8B,23.31
13/01/2020 20:00,34.4,71.97,7,3.25,57.96,Rain,SOQ 15,19.06
